Gene Symbol Origin,Gene Symbol Target,Correlation,p-value,FDR
RAB14,UEVLD,0.642,0.000171966,0.0102074
FN1,INHBA,0.642,0.000171966,0.0102074
GDI2,UBE2N,0.642,0.000171966,0.0102074
IRX1,SOX10,0.642,0.000171966,0.0102074
CCDC3,KLHL29,0.642,0.000171966,0.0102074
C12orf75,RP3-428L16.2,0.642,0.000171966,0.0102074
FN1,GREM1,0.642,0.000171966,0.0102074
DEFB1,IRX1,0.642,0.000172855,0.0102574
FAM214A,POSTN,-0.642,0.000174598,0.0103105
CRABP1,KCNN4,0.642,0.000174598,0.0103105
BAG2,LMOD1,0.642,0.000174598,0.0103105
ADH1B,AKR1C3,0.642,0.000174598,0.0103105
ADAMTS9-AS2,SOSTDC1,0.642,0.000174598,0.0103105
PID1,SCN4B,0.642,0.000174598,0.0103105
CDC5L,SELT,0.642,0.000174598,0.0103105
ID4,IRX1,0.642,0.000174598,0.0103105
SLC35A3,TMX1,0.642,0.000174598,0.0103105
B3GNT2,HLA-DRA,0.642,0.000174598,0.0103105
GABRP,PAMR1,0.642,0.000174598,0.0103105
ARPC5,GNAI3,0.642,0.000174598,0.0103105
MIER3,TSN,0.642,0.000174598,0.0103105
MAPRE1,UEVLD,0.642,0.000174598,0.0103105
LRIF1,NAPA,0.642,0.000174598,0.0103105
COL6A1,MICAL2,0.642,0.000174598,0.0103105
FBN1,GREM1,0.642,0.000174598,0.0103105
FKBP14,POSTN,0.642,0.000174598,0.0103105
CERS2,MS4A7,-0.641,0.000177267,0.010398
COL6A1,FAM214A,-0.641,0.000177267,0.010398
LOC100271840,PRIMA1,-0.641,0.000177267,0.010398
CCDC3,CES1,0.641,0.000177267,0.010398
AOC3,PALMD,0.641,0.000177267,0.010398
MAMDC2,SCN4B,0.641,0.000177267,0.010398
ADH1C,BTNL9,0.641,0.000177267,0.010398
ASCC1,C14orf142,0.641,0.000177267,0.010398
ADAMTS9-AS2,GPM6B,0.641,0.000177267,0.010398
ID4,MAMDC2,0.641,0.000177267,0.010398
COL6A6,MEOX1,0.641,0.000177267,0.010398
ROBO4,SIK2,0.641,0.000177267,0.010398
DSG2,HNRNPF,0.641,0.000177267,0.010398
IRX1,PAMR1,0.641,0.000177267,0.010398
MRPL42,RAB5A,0.641,0.000177267,0.010398
PRPF31,TPD52,0.641,0.000177267,0.010398
RAB5A,UBE2N,0.641,0.000177267,0.010398
CTB-50L17.7,GDI2,0.641,0.000177267,0.010398
PRPF31,RHOA,0.641,0.000177267,0.010398
CFL1,CREB1,0.641,0.000177267,0.010398
RELN,SCARA5,0.641,0.000177267,0.010398
C12orf75,MS4A7,0.641,0.000177267,0.010398
COL6A1,COL8A2,0.641,0.000177267,0.010398
SERPINH1,SFRP2,0.641,0.000177267,0.010398
C1QTNF3,CALU,0.641,0.000177267,0.010398
CD9,SEMA3G,-0.641,0.000179971,0.0105143
FABP4,MEOX1,0.641,0.000179971,0.0105143
AL833181,SYNM,0.641,0.000179971,0.0105143
CSNK1A1,TMX1,0.641,0.000179971,0.0105143
CERS2,MIA3,0.641,0.000179971,0.0105143
FAT2,LOC100506558,0.641,0.000179971,0.0105143
ARFIP1,GFPT1,0.641,0.000179971,0.0105143
KLHL13,KLHL29,0.641,0.000179971,0.0105143
GNB1,STK38,0.641,0.000179971,0.0105143
GLUD2,UEVLD,0.641,0.000179971,0.0105143
COL5A2,TIMP3,0.641,0.000179971,0.0105143
OLFML2B,PLAUR,0.641,0.000179971,0.0105143
ARF4,SEPT2,0.641,0.000179971,0.0105143
GPX3,PLIN4,0.641,0.000179971,0.0105143
ADAMTS9,PLAC9,0.641,0.000179971,0.0105143
COL5A2,TMEM9,-0.64,0.000182712,0.0106262
ARF4,CALU,0.64,0.000182712,0.0106262
ITGA7,PALMD,0.64,0.000182712,0.0106262
ARF4,BZW1,0.64,0.000182712,0.0106262
MAMDC2,MIA,0.64,0.000182712,0.0106262
ESRP1,GSPT1,0.64,0.000182712,0.0106262
ABCA8,CRYAB,0.64,0.000182712,0.0106262
GABRP,RNF150,0.64,0.000182712,0.0106262
ID4,TNXA,0.64,0.000182712,0.0106262
EDNRB,PIGR,0.64,0.000182712,0.0106262
DMD,LOC100506558,0.64,0.000182712,0.0106262
LAPTM4B,PRPF31,0.64,0.000182712,0.0106262
GNAI3,JAK1,0.64,0.000182712,0.0106262
NPR1,VWF,0.64,0.000182712,0.0106262
COL5A2,SFRP2,0.64,0.000182712,0.0106262
C1QTNF3,FAP,0.64,0.000182712,0.0106262
C1QTNF3,VCAN,0.64,0.000182712,0.0106262
ALDH1A2,TF,0.64,0.000183652,0.010678
CSNK1A1,MME,-0.64,0.00018549,0.0107335
FZD4,ITGA7,0.64,0.00018549,0.0107335
EDNRB,FMO2,0.64,0.00018549,0.0107335
CNN1,GNAL,0.64,0.00018549,0.0107335
CCM2L,SOD3,0.64,0.00018549,0.0107335
GNAL,LMOD1,0.64,0.00018549,0.0107335
HSPD1,PRPF31,0.64,0.00018549,0.0107335
PLAUR,STK38,0.64,0.00018549,0.0107335
NIPBL,UBE2N,0.64,0.00018549,0.0107335
RAB1A,SYPL1,0.64,0.00018549,0.0107335
DCTD,GDI2,0.64,0.00018549,0.0107335
UEVLD,YIPF5,0.64,0.00018549,0.0107335
GABRP,LARP6,0.64,0.00018549,0.0107335
PPP1R1A,RBP4,0.64,0.00018549,0.0107335
AGPAT9,IGFBP6,0.64,0.00018549,0.0107335
NPR1,ROBO4,0.64,0.00018549,0.0107335
MFAP2,VCAN,0.64,0.00018549,0.0107335
COL3A1,RP3-428L16.2,0.64,0.00018549,0.0107335
DSG2,ITGA7,-0.639,0.000188305,0.010822
ACSS2,VCAN,-0.639,0.000188305,0.010822
ATP1A2,C12orf5,-0.639,0.000188305,0.010822
DLK1,SLC29A4,-0.639,0.000188305,0.010822
RBP7,SAA1,0.639,0.000188305,0.010822
ATP6V1A,GLUL,0.639,0.000188305,0.010822
AGTRAP,CTB-50L17.7,0.639,0.000188305,0.010822
ENPP2,MIR143HG,0.639,0.000188305,0.010822
GPM6B,SCN4B,0.639,0.000188305,0.010822
CRYAB,MIR143HG,0.639,0.000188305,0.010822
DST,MIR143HG,0.639,0.000188305,0.010822
FXYD1,NDRG2,0.639,0.000188305,0.010822
AGPAT9,ITIH5,0.639,0.000188305,0.010822
KDM4B,LOC101928189,0.639,0.000188305,0.010822
GOLGA7,LYPLA1,0.639,0.000188305,0.010822
RUNX2,TIMP3,0.639,0.000188305,0.010822
ASPN,PRRX1,0.639,0.000188305,0.010822
BAG2,TIMP3,0.639,0.000188305,0.010822
ARFIP1,LAMP1,0.639,0.000188305,0.010822
ARFIP1,SYPL1,0.639,0.000188305,0.010822
COMMD10,SAE1,0.639,0.000188305,0.010822
DMD,NDRG2,0.639,0.000188305,0.010822
EPT1,ETNK1,0.639,0.000188305,0.010822
ENPP2,FXYD1,0.639,0.000188305,0.010822
C1QTNF3,OLFML2B,0.639,0.000188305,0.010822
COMP,FKBP14,0.639,0.000188305,0.010822
GNB1,THY1,0.639,0.000191158,0.0109343
FAT2,SAA1,0.639,0.000191158,0.0109343
BUB3,EDEM3,0.639,0.000191158,0.0109343
MAMDC2,MIR143HG,0.639,0.000191158,0.0109343
ATP6V1A,UBE2M,0.639,0.000191158,0.0109343
C16orf13,TSN,0.639,0.000191158,0.0109343
PEAR1,VWF,0.639,0.000191158,0.0109343
ARFGEF1,TPD52,0.639,0.000191158,0.0109343
CTNNA1,GALNT10,0.639,0.000191158,0.0109343
EZR,MAPRE1,0.639,0.000191158,0.0109343
CDC5L,NAPA,0.639,0.000191158,0.0109343
LAPTM4B,PGRMC1,0.639,0.000191158,0.0109343
COL6A1,OSTC,0.639,0.000191158,0.0109343
BRCC3,RRM1,0.639,0.000191158,0.0109343
C16orf72,RHOA,0.639,0.000191158,0.0109343
RAB5A,SAE1,0.639,0.000191158,0.0109343
USP21,ZNF281,0.639,0.000191158,0.0109343
ASPN,GXYLT2,0.639,0.000191158,0.0109343
ADAMTS5,EDN3,0.639,0.000193585,0.0110477
GNB1,GPIHBP1,-0.638,0.000194049,0.0110477
ARHGEF4,TESC,-0.638,0.000194049,0.0110477
C1S,DPY19L2P2,-0.638,0.000194049,0.0110477
BGN,RAB31,0.638,0.000194049,0.0110477
ABCA8,CD36,0.638,0.000194049,0.0110477
NR3C2,SYNM,0.638,0.000194049,0.0110477
CAPN3,CCDC3,0.638,0.000194049,0.0110477
PTPRZ1,RNF150,0.638,0.000194049,0.0110477
LYPLA1,RHOA,0.638,0.000194049,0.0110477
COL10A1,VTA1,0.638,0.000194049,0.0110477
CTNNA1,PGRMC1,0.638,0.000194049,0.0110477
ARF4,SLC30A5,0.638,0.000194049,0.0110477
COMMD10,MIER3,0.638,0.000194049,0.0110477
GOLGA7,SEPT2,0.638,0.000194049,0.0110477
MAMDC2,SAMD5,0.638,0.000194049,0.0110477
AOC3,FMO2,0.638,0.000194049,0.0110477
ALDH1L1,LPHN3,0.638,0.000194049,0.0110477
CHRDL1,SAA1,0.638,0.000196979,0.0111766
MID1,TRIM29,0.638,0.000196979,0.0111766
ARHGDIB,BRCC3,0.638,0.000196979,0.0111766
EBF1,RELN,0.638,0.000196979,0.0111766
PPP1R11,STIP1,0.638,0.000196979,0.0111766
DST,MAMDC2,0.638,0.000196979,0.0111766
CNN3,COMP,0.638,0.000196979,0.0111766
FBN1,WNT5A,0.638,0.000196979,0.0111766
CALU,CLIC4,0.638,0.000196979,0.0111766
NREP,OSTC,0.638,0.000196979,0.0111766
ARFIP1,HNRNPF,0.638,0.000196979,0.0111766
PIK3C2A,TMEM245,0.638,0.000196979,0.0111766
CCDC3,ID4,0.638,0.000196979,0.0111766
PSENEN,RP3-428L16.2,-0.637,0.000199947,0.0112924
TMEM9,VCAN,-0.637,0.000199947,0.0112924
NUDT7,SOX10,0.637,0.000199947,0.0112924
SPOCK1,SULF1,0.637,0.000199947,0.0112924
RASIP1,SAA1,0.637,0.000199947,0.0112924
GREB1,LSM4,0.637,0.000199947,0.0112924
CD46,CSNK1A1,0.637,0.000199947,0.0112924
ABI1,CD9,0.637,0.000199947,0.0112924
FXYD1,KIT,0.637,0.000199947,0.0112924
MATR3,ZNF146,0.637,0.000199947,0.0112924
ASCC1,EIF4E,0.637,0.000199947,0.0112924
DCTD,M6PR,0.637,0.000199947,0.0112924
CLIC4,COL12A1,0.637,0.000199947,0.0112924
ANKH,SERPINH1,0.637,0.000199947,0.0112924
C1S,CDH11,0.637,0.000199947,0.0112924
RAD21,STIP1,0.637,0.000199947,0.0112924
C1QTNF6,LOXL1,0.637,0.000199947,0.0112924
BGN,SLC2A13,0.637,0.000199947,0.0112924
ALDH1A2,PID1,0.637,0.000202474,0.0114181
MAPK13,SERPINH1,-0.637,0.000202955,0.0114181
ADH1C,CCL14,0.637,0.000202955,0.0114181
PTP4A1,SELT,0.637,0.000202955,0.0114181
SCN4B,SOSTDC1,0.637,0.000202955,0.0114181
ARHGDIB,COMMD10,0.637,0.000202955,0.0114181
M6PR,SERINC3,0.637,0.000202955,0.0114181
RAB1A,YWHAZ,0.637,0.000202955,0.0114181
CAPRIN1,GLUL,0.637,0.000202955,0.0114181
CYB5R3,NREP,0.637,0.000202955,0.0114181
MAPRE1,SCOC,0.637,0.000202955,0.0114181
MAPRE1,RAB1A,0.637,0.000202955,0.0114181
ARPC5,RRM1,0.637,0.000202955,0.0114181
ARPC5,SP1,0.637,0.000202955,0.0114181
INMT,PLAC9,0.637,0.000202955,0.0114181
GYG2,REL,-0.636,0.000206004,0.0115155
STIP1,TMEFF2,-0.636,0.000206004,0.0115155
AL833181,DMD,0.636,0.000206004,0.0115155
PTP4A1,UBE2M,0.636,0.000206004,0.0115155
IRX1,MIR143HG,0.636,0.000206004,0.0115155
SELT,TMX1,0.636,0.000206004,0.0115155
ATP6V1A,KCTD5,0.636,0.000206004,0.0115155
DDX42,ESRP1,0.636,0.000206004,0.0115155
ID4,SYNM,0.636,0.000206004,0.0115155
CCDC176,NAT1,0.636,0.000206004,0.0115155
ABI1,ARFIP1,0.636,0.000206004,0.0115155
HSP90AB1,TMX1,0.636,0.000206004,0.0115155
COMMD10,SAR1B,0.636,0.000206004,0.0115155
FAP,STK38,0.636,0.000206004,0.0115155
THY1,WNT5A,0.636,0.000206004,0.0115155
OSTC,WNT5A,0.636,0.000206004,0.0115155
ALDH18A1,CNN3,0.636,0.000206004,0.0115155
COMMD10,YWHAE,0.636,0.000206004,0.0115155
ARFIP1,LIG4,0.636,0.000206004,0.0115155
BRCC3,GDI2,0.636,0.000206004,0.0115155
RHOA,YIPF5,0.636,0.000206004,0.0115155
CNN1,DMD,0.636,0.000206004,0.0115155
EIF4A2,LOC100190986,0.636,0.000206004,0.0115155
BAG2,DNM3OS,0.636,0.000206004,0.0115155
GXYLT2,SERPINH1,0.636,0.000206004,0.0115155
ABCA8,ALDH1A2,0.636,0.000208598,0.0116288
ANKRD29,FZD4,0.636,0.000209092,0.0116288
ANKRD29,FAM107A,0.636,0.000209092,0.0116288
FMO2,KLHL13,0.636,0.000209092,0.0116288
GNAI1,PALMD,0.636,0.000209092,0.0116288
PDE9A,SEMA3G,0.636,0.000209092,0.0116288
CSNK1A1,DICER1,0.636,0.000209092,0.0116288
CLIC4,SULF1,0.636,0.000209092,0.0116288
APPL2,LMOD1,0.636,0.000209092,0.0116288
LARP6,PLAC9,0.636,0.000209092,0.0116288
ABCA8,FOXC1,0.636,0.000209092,0.0116288
CYB5R3,GNB1,0.636,0.000209092,0.0116288
CAPRIN1,FRYL,0.636,0.000209092,0.0116288
GDE1,YWHAE,0.636,0.000209092,0.0116288
BAG2,STK38,0.636,0.000209092,0.0116288
MAMDC2,MFGE8,0.636,0.000209092,0.0116288
ADH1B,PLIN4,0.636,0.000209092,0.0116288
ADIPOQ,AOC3,0.636,0.000209092,0.0116288
AKR1C3,CLDN5,0.636,0.000209092,0.0116288
C12orf75,COL3A1,0.636,0.000209092,0.0116288
ALDH1A2,EDNRB,0.636,0.000211722,0.011758
COL5A1,FAM214A,-0.635,0.000212222,0.011758
SRPK2,ZNF627,0.635,0.000212222,0.011758
ADH1B,CRYAB,0.635,0.000212222,0.011758
DDX42,TMEM245,0.635,0.000212222,0.011758
CSNK1A1,DCTN4,0.635,0.000212222,0.011758
ARF4,YWHAZ,0.635,0.000212222,0.011758
HSP90AB1,IGF1R,0.635,0.000212222,0.011758
CD9,YWHAE,0.635,0.000212222,0.011758
COL10A1,NREP,0.635,0.000212222,0.011758
TMEM245,TSN,0.635,0.000212222,0.011758
AGTRAP,CKAP5,0.635,0.000212222,0.011758
ARFGEF1,YWHAZ,0.635,0.000212222,0.011758
C12orf75,FNDC1,0.635,0.000212222,0.011758
C12orf75,FBN1,0.635,0.000212222,0.011758
DCTD,GABRP,0.635,0.000215393,0.0118496
AL833181,EDNRB,0.635,0.000215393,0.0118496
CLIC4,TMX1,0.635,0.000215393,0.0118496
EBF1,MIR143HG,0.635,0.000215393,0.0118496
CLCC1,RIT1,0.635,0.000215393,0.0118496
C2orf40,CLDN5,0.635,0.000215393,0.0118496
CRYAB,MID1,0.635,0.000215393,0.0118496
KRT5,SFRP1,0.635,0.000215393,0.0118496
CD9,DSG2,0.635,0.000215393,0.0118496
FIGF,FXYD1,0.635,0.000215393,0.0118496
CFD,LOC100506558,0.635,0.000215393,0.0118496
RIOK3,YWHAZ,0.635,0.000215393,0.0118496
KCTD5,RIOK3,0.635,0.000215393,0.0118496
CLIC4,TMEM245,0.635,0.000215393,0.0118496
NREP,SEPT2,0.635,0.000215393,0.0118496
COL10A1,PLAUR,0.635,0.000215393,0.0118496
INHBA,YWHAH,0.635,0.000215393,0.0118496
AC092192.1,AK094644,0.635,0.000215393,0.0118496
BRCC3,OCIAD1,0.635,0.000215393,0.0118496
ARPC5,OCIAD1,0.635,0.000215393,0.0118496
OCIAD1,SAE1,0.635,0.000215393,0.0118496
CDC5L,SEPT2,0.635,0.000215393,0.0118496
RHOB,SRSF3,0.635,0.000215393,0.0118496
CNN1,IRX1,0.635,0.000215393,0.0118496
DNAJB1,LSM4,0.635,0.000215393,0.0118496
LAPTM4B,TAB2,0.635,0.000215393,0.0118496
INMT,LOC100506558,0.635,0.000215393,0.0118496
CALU,GXYLT2,0.635,0.000215393,0.0118496
ANGPT1,LGALS12,0.634,0.000218605,0.0119782
CD36,INMT,0.634,0.000218605,0.0119782
EGFL7,PPP1R14A,0.634,0.000218605,0.0119782
ARFIP1,NOLC1,0.634,0.000218605,0.0119782
CNN1,IGFBP6,0.634,0.000218605,0.0119782
PSMD10,TNFRSF12A,0.634,0.000218605,0.0119782
DNAJB1,SYPL1,0.634,0.000218605,0.0119782
TMEM230,YWHAZ,0.634,0.000218605,0.0119782
ASCC1,RHOA,0.634,0.000218605,0.0119782
GDE1,UEVLD,0.634,0.000218605,0.0119782
ADAM12,CLIC4,0.634,0.000218605,0.0119782
LOC100190986,LOC441259,0.634,0.000218605,0.0119782
RRM1,UEVLD,0.634,0.000218605,0.0119782
ATP6V1A,SLC33A1,0.634,0.000218605,0.0119782
MFAP2,NID2,0.634,0.000218605,0.0119782
C1QTNF3,FN1,0.634,0.000218605,0.0119782
MIER3,ROBO4,-0.634,0.00022186,0.0121171
ADH1C,SOD3,0.634,0.00022186,0.0121171
ADH1C,KLHL13,0.634,0.00022186,0.0121171
EZR,MATR3,0.634,0.00022186,0.0121171
CLDN5,NDRG2,0.634,0.00022186,0.0121171
LSM4,OAZ2,0.634,0.00022186,0.0121171
ARFIP1,DSG2,0.634,0.00022186,0.0121171
CFL1,CLIC4,0.634,0.00022186,0.0121171
GXYLT2,TIMP3,0.634,0.00022186,0.0121171
DCTN4,TMEM245,0.634,0.00022186,0.0121171
ARFIP1,CDC5L,0.634,0.00022186,0.0121171
MICAL2,THY1,0.634,0.00022186,0.0121171
COL5A1,GREM1,0.634,0.00022186,0.0121171
KANK3,VPS8,-0.633,0.000225158,0.0122422
GPIHBP1,UBE4B,-0.633,0.000225158,0.0122422
APPL2,GNAI1,0.633,0.000225158,0.0122422
FMO2,IGSF10,0.633,0.000225158,0.0122422
CLDN5,EGFL7,0.633,0.000225158,0.0122422
LRRC41,OAZ2,0.633,0.000225158,0.0122422
GNB1,TGFB1,0.633,0.000225158,0.0122422
PRPF31,RAB14,0.633,0.000225158,0.0122422
LAPTM4B,TMEM245,0.633,0.000225158,0.0122422
ARF4,MAPRE1,0.633,0.000225158,0.0122422
RAB1A,UEVLD,0.633,0.000225158,0.0122422
HSPB2,NDRG2,0.633,0.000225158,0.0122422
EBF1,LOC100506558,0.633,0.000225158,0.0122422
C12orf75,C1QTNF6,0.633,0.000225158,0.0122422
COL6A1,FKBP14,0.633,0.000225158,0.0122422
COL6A1,CTGF,0.633,0.000225158,0.0122422
COMP,GJB2,0.633,0.000225158,0.0122422
COL10A1,VCAN,0.633,0.000225158,0.0122422
ALDH1A2,EDN3,0.633,0.000228276,0.012335
DCTD,TMEFF2,-0.633,0.000228499,0.012335
C16orf72,FZD4,-0.633,0.000228499,0.012335
ABI1,ROBO4,-0.633,0.000228499,0.012335
ERMP1,SCGB3A1,-0.633,0.000228499,0.012335
PPP1R14A,RBP7,0.633,0.000228499,0.012335
ANKRD29,EBF1,0.633,0.000228499,0.012335
BZW1,EPT1,0.633,0.000228499,0.012335
RELN,RGMA,0.633,0.000228499,0.012335
ABI1,RAB14,0.633,0.000228499,0.012335
GNB1,OAZ2,0.633,0.000228499,0.012335
NOLC1,WAPAL,0.633,0.000228499,0.012335
C1orf213,VIT,0.633,0.000228499,0.012335
CCDC3,LARP6,0.633,0.000228499,0.012335
SCARB2,TMX1,0.633,0.000228499,0.012335
CLIC4,EIF4E,0.633,0.000228499,0.012335
MRPL42,SAR1B,0.633,0.000228499,0.012335
SAR1B,UEVLD,0.633,0.000228499,0.012335
CCT2,CDC5L,0.633,0.000228499,0.012335
CAPRIN1,DCTD,0.633,0.000228499,0.012335
OAZ2,SAE1,0.633,0.000228499,0.012335
PGRMC1,SLC30A5,0.633,0.000228499,0.012335
PIK3C2A,ZNF146,0.633,0.000228499,0.012335
FOXC1,MAMDC2,0.633,0.000228499,0.012335
KLHL29,SOD3,0.633,0.000228499,0.012335
FXYD1,SFRP1,0.633,0.000228499,0.012335
FUS,KCTD5,0.633,0.000228499,0.012335
LOC100190986,MATR3,0.633,0.000228499,0.012335
C1QTNF6,VCAN,0.633,0.000228499,0.012335
CENPU,KDM5B,-0.633,0.000231884,0.012447
GATA3,OSTC,-0.633,0.000231884,0.012447
AL833181,ANKRD29,0.633,0.000231884,0.012447
FMO2,RGMA,0.633,0.000231884,0.012447
FMO2,KIT,0.633,0.000231884,0.012447
ATP6V1A,RAD21,0.633,0.000231884,0.012447
ADAMTS5,SCN4B,0.633,0.000231884,0.012447
P4HB,SAR1B,0.633,0.000231884,0.012447
BTNL9,MEOX1,0.633,0.000231884,0.012447
ADAMTS9,CFD,0.633,0.000231884,0.012447
DST,KLHL13,0.633,0.000231884,0.012447
TTPAL,UBE2N,0.633,0.000231884,0.012447
GLUD2,GLUL,0.633,0.000231884,0.012447
ASAP1,RAB1A,0.633,0.000231884,0.012447
CTB-50L17.7,EZR,0.633,0.000231884,0.012447
EZR,SCOC,0.633,0.000231884,0.012447
EZR,OCIAD1,0.633,0.000231884,0.012447
CTNNA1,ZFP36L2,0.633,0.000231884,0.012447
ARF4,CREB1,0.633,0.000231884,0.012447
RIOK3,SETD5,0.633,0.000231884,0.012447
LAMP1,RHOA,0.633,0.000231884,0.012447
RP3-428L16.2,SLC2A13,0.633,0.000231884,0.012447
ADAM12,OLFML2B,0.633,0.000231884,0.012447
CA3,OAZ2,-0.632,0.000235313,0.0125756
MIA3,VCAN,-0.632,0.000235313,0.0125756
LARP6,PRRX1,0.632,0.000235313,0.0125756
ASPN,NSG1,0.632,0.000235313,0.0125756
CNN1,CTGF,0.632,0.000235313,0.0125756
ARFGEF1,LAPTM4B,0.632,0.000235313,0.0125756
ATP6V1A,EIF4A2,0.632,0.000235313,0.0125756
AGTRAP,DNAJB1,0.632,0.000235313,0.0125756
ARHGDIB,UBE2N,0.632,0.000235313,0.0125756
C16orf13,UEVLD,0.632,0.000235313,0.0125756
GPR160,ZNF43,0.632,0.000235313,0.0125756
CLDN5,NPR1,0.632,0.000235313,0.0125756
DCTD,SCOC,0.632,0.000235313,0.0125756
MRPL42,SYPL1,0.632,0.000235313,0.0125756
SLC30A5,TMEM245,0.632,0.000235313,0.0125756
CNN1,MAMDC2,0.632,0.000235313,0.0125756
ALYREF,LSM4,0.632,0.000235313,0.0125756
KDELR3,MICAL2,0.632,0.000235313,0.0125756
ALDH1A2,APPL2,0.632,0.000238235,0.012693
ACSS2,RUNX2,-0.632,0.000238787,0.012693
CCT2,GPIHBP1,-0.632,0.000238787,0.012693
MFAP2,NAT1,-0.632,0.000238787,0.012693
AL833181,KIT,0.632,0.000238787,0.012693
C12orf5,CCNB1,0.632,0.000238787,0.012693
CCNB1,CKS2,0.632,0.000238787,0.012693
CFD,SCN4B,0.632,0.000238787,0.012693
MIR143HG,RNF150,0.632,0.000238787,0.012693
ATP6V1A,TSN,0.632,0.000238787,0.012693
BTNL9,SEMA3G,0.632,0.000238787,0.012693
MEOX1,VWF,0.632,0.000238787,0.012693
FAR1,PGRMC1,0.632,0.000238787,0.012693
EPT1,SCOC,0.632,0.000238787,0.012693
C1S,COL6A1,0.632,0.000238787,0.012693
POSTN,TIMP3,0.632,0.000238787,0.012693
SEPT2,SLC30A5,0.632,0.000238787,0.012693
APPL2,NES,0.632,0.000238787,0.012693
FXYD1,ID4,0.632,0.000238787,0.012693
GXYLT2,PPAPDC1A,0.632,0.000238787,0.012693
FAP,OLFML2B,0.632,0.000238787,0.012693
BAG2,PPAPDC1A,0.632,0.000238787,0.012693
DCTN4,ROBO4,-0.631,0.000242306,0.0128178
COL5A2,DOPEY2,-0.631,0.000242306,0.0128178
ANKRD29,PLAC9,0.631,0.000242306,0.0128178
BIN1,ENTPD1,0.631,0.000242306,0.0128178
EGFL7,KANK3,0.631,0.000242306,0.0128178
PIGR,RASIP1,0.631,0.000242306,0.0128178
FABP4,SOD3,0.631,0.000242306,0.0128178
CSNK1A1,NIPBL,0.631,0.000242306,0.0128178
GLUL,POGK,0.631,0.000242306,0.0128178
CDC42EP5,LRRN4CL,0.631,0.000242306,0.0128178
INMT,SAMD5,0.631,0.000242306,0.0128178
AKR1C3,KIT,0.631,0.000242306,0.0128178
LSM4,SAE1,0.631,0.000242306,0.0128178
PPP1R11,RHOA,0.631,0.000242306,0.0128178
EZH2,KIAA0101,0.631,0.000242306,0.0128178
M6PR,SAR1B,0.631,0.000242306,0.0128178
EDNRB,PEAR1,0.631,0.000242306,0.0128178
GMFB,SIDT1,0.631,0.000242306,0.0128178
TMX1,TTPAL,0.631,0.000242306,0.0128178
COMP,POSTN,0.631,0.000242306,0.0128178
RAB5A,ROBO4,-0.631,0.00024587,0.0129531
LAPTM5,RUNX1-IT1,0.631,0.00024587,0.0129531
PGM5,TNXA,0.631,0.00024587,0.0129531
ADAMTS5,LGR6,0.631,0.00024587,0.0129531
CDC42EP5,MFGE8,0.631,0.00024587,0.0129531
NDRG2,PID1,0.631,0.00024587,0.0129531
CLDN5,ITIH5,0.631,0.00024587,0.0129531
MATR3,PSMD10,0.631,0.00024587,0.0129531
ARFIP1,PRPF31,0.631,0.00024587,0.0129531
CCT2,NIPBL,0.631,0.00024587,0.0129531
DCTD,OCIAD1,0.631,0.00024587,0.0129531
COMMD10,RRM1,0.631,0.00024587,0.0129531
PRPF31,SAE1,0.631,0.00024587,0.0129531
SP1,SYPL1,0.631,0.00024587,0.0129531
DMD,GABRP,0.631,0.00024587,0.0129531
CRYAB,PAMR1,0.631,0.00024587,0.0129531
COL10A1,GREM1,0.631,0.00024587,0.0129531
ALDH1A2,MEOX1,0.63,0.000248909,0.0130584
CD36,RAD1,-0.63,0.000249481,0.0130584
CCM2L,MATR3,-0.63,0.000249481,0.0130584
ACSS2,COMP,-0.63,0.000249481,0.0130584
DNAJC12,FNDC1,-0.63,0.000249481,0.0130584
RBP7,SEMA3G,0.63,0.000249481,0.0130584
OLFM4,PRIMA1,0.63,0.000249481,0.0130584
BRCC3,DICER1,0.63,0.000249481,0.0130584
FMO2,PEAR1,0.63,0.000249481,0.0130584
HSP90AB1,PDLIM5,0.63,0.000249481,0.0130584
SELT,TMEM50B,0.63,0.000249481,0.0130584
ID4,OXTR,0.63,0.000249481,0.0130584
ADH1B,BTNL9,0.63,0.000249481,0.0130584
ENPP2,KIT,0.63,0.000249481,0.0130584
IGFBP6,LARP6,0.63,0.000249481,0.0130584
RAB5A,SPIN1,0.63,0.000249481,0.0130584
TMX1,UBE4B,0.63,0.000249481,0.0130584
GLUL,UBE2N,0.63,0.000249481,0.0130584
CYB5R3,DNAJB1,0.63,0.000249481,0.0130584
GDI2,TAB2,0.63,0.000249481,0.0130584
LYPLA1,RAB1A,0.63,0.000249481,0.0130584
LAPTM4B,OAZ2,0.63,0.000249481,0.0130584
HSP90AB1,SETD5,0.63,0.000249481,0.0130584
CD46,GMFB,0.63,0.000249481,0.0130584
C1QTNF6,FKBP14,0.63,0.000249481,0.0130584
C1QTNF6,MFAP2,0.63,0.000249481,0.0130584
CALU,RUNX2,0.63,0.000249481,0.0130584
RAB1A,ROBO4,-0.63,0.000253139,0.0131868
CHRDL1,RBP7,0.63,0.000253139,0.0131868
APPL2,RP3-428L16.2,0.63,0.000253139,0.0131868
ADH1C,MEOX1,0.63,0.000253139,0.0131868
COL6A1,LARP6,0.63,0.000253139,0.0131868
NDRG2,RASIP1,0.63,0.000253139,0.0131868
LYVE1,WIF1,0.63,0.000253139,0.0131868
